INFO 2025-12-05 00:39:03,360 basehttp 13824 25560 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:03,398 basehttp 13824 11088 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:03,486 basehttp 13824 25560 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:03,487 basehttp 13824 11088 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:03,511 basehttp 13824 15016 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:04,357 basehttp 13824 15016 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:39:06,083 basehttp 13824 15016 "GET /driver/apply/ HTTP/1.1" 200 27544
INFO 2025-12-05 00:39:14,688 basehttp 13824 15016 - Broken pipe from ('127.0.0.1', 56729)
INFO 2025-12-05 00:39:14,995 basehttp 13824 11088 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:39:16,081 basehttp 13824 11088 - Broken pipe from ('127.0.0.1', 54478)
INFO 2025-12-05 00:39:16,352 basehttp 13824 25560 - Broken pipe from ('127.0.0.1', 60136)
INFO 2025-12-05 00:39:16,451 basehttp 13824 26296 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:39:17,077 basehttp 13824 26296 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:17,143 basehttp 13824 1636 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:17,184 basehttp 13824 26296 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:17,191 basehttp 13824 27236 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:17,658 basehttp 13824 27236 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:17,771 basehttp 13824 26296 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:17,785 basehttp 13824 1636 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:17,785 basehttp 13824 27236 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:29,875 basehttp 13824 27236 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:39:29,946 basehttp 13824 27236 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:39:30,881 basehttp 13824 27236 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:39:30,953 basehttp 13824 27236 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:39:31,050 basehttp 13824 27236 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:39:31,131 basehttp 13824 27236 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:39:31,444 basehttp 13824 27236 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:39:31,549 basehttp 13824 27236 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:39:33,421 basehttp 13824 27236 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:39:34,125 basehttp 13824 27236 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:39:34,729 basehttp 13824 27236 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:39:34,827 basehttp 13824 27236 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:39:35,069 basehttp 13824 27236 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:35,154 basehttp 13824 1636 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:35,156 basehttp 13824 27236 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:35,173 basehttp 13824 26296 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:50,456 basehttp 13824 26296 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:50,554 basehttp 13824 26296 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:50,565 basehttp 13824 1636 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:50,567 basehttp 13824 27236 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:50,814 basehttp 13824 27236 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:50,880 basehttp 13824 1636 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:50,922 basehttp 13824 27236 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:50,931 basehttp 13824 26296 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:50,975 basehttp 13824 27236 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:51,058 basehttp 13824 26296 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:51,058 basehttp 13824 27236 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:51,089 basehttp 13824 1636 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:51,130 basehttp 13824 26296 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:51,220 basehttp 13824 26296 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:51,220 basehttp 13824 1636 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:51,239 basehttp 13824 27236 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:52,051 basehttp 13824 27236 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:39:52,135 basehttp 13824 27236 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:39:52,566 basehttp 13824 27236 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:39:52,670 basehttp 13824 27236 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:39:53,088 basehttp 13824 27236 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:39:53,202 basehttp 13824 27236 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:39:53,888 basehttp 13824 27236 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:39:55,334 basehttp 13824 27236 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:39:56,260 basehttp 13824 27236 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:40:08,192 basehttp 13824 27236 - Broken pipe from ('127.0.0.1', 64089)
INFO 2025-12-05 00:40:08,462 basehttp 13824 1636 - Broken pipe from ('127.0.0.1', 59489)
INFO 2025-12-05 00:40:08,660 basehttp 13824 26296 "GET /driver/dashboard/ HTTP/1.1" 200 101519
INFO 2025-12-05 00:40:10,838 basehttp 13824 26296 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:40:10,941 basehttp 13824 26296 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:40:10,949 basehttp 13824 9180 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:40:10,955 basehttp 13824 23252 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:40:11,337 basehttp 13824 23252 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:40:11,429 basehttp 13824 23252 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:40:11,846 basehttp 13824 23252 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:40:11,950 basehttp 13824 23252 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:40:13,653 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:22,658 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:23,432 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:23,730 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:24,063 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:24,202 basehttp 13824 23252 "GET /maintenance/ HTTP/1.1" 200 92706
INFO 2025-12-05 00:40:24,810 basehttp 13824 23252 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:40:24,893 basehttp 13824 23252 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:40:24,906 basehttp 13824 26296 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:40:24,912 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:40:25,341 basehttp 13824 9180 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:40:25,412 basehttp 13824 9180 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:40:25,783 basehttp 13824 9180 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:40:25,887 basehttp 13824 9180 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:40:56,738 basehttp 13824 9180 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:41:19,578 basehttp 13824 9180 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:41:19,686 basehttp 13824 9180 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:41:19,768 basehttp 13824 9180 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:41:19,869 basehttp 13824 9180 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:41:19,903 basehttp 13824 26296 "GET /analytics/ HTTP/1.1" 200 73872
